[1611, 1207, 981, 973, 933, 706, 696, 604, 561, 540, 481, 414, 386, 344, 343, 318, 315, 314, 311, 303, 297, 286, 283, 278, 274, 272, 268, 261, 251, 248, 245, 233, 231, 213, 203, 194, 181, 175, 169, 159, 156, 154, 153, 149, 147, 143, 142, 141, 134, 133, 132, 127, 123, 119, 118, 116, 112, 111, 109, 108, 104, 103, 102, 100, 99, 97, 96, 95, 93, 89, 88, 86, 85, 84, 83, 82, 80, 78, 77, 74, 73, 72, 71, 70, 68, 67, 66, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
  1   　位|    の     |1611  回|
  2   　位|    事     |1207  回|
  3   　位|    もの    | 981  回|
  4   　位|    君     | 973  回|
  5   　位|    主人    | 933  回|
  6   　位|    ん     | 706  回|
  7   　位|    よう    | 696  回|
  8   　位|    人     | 604  回|
  9   　位|    一     | 561  回|
 10   　位|    何     | 540  回|
 11   　位|    吾輩    | 481  回|
 12   　位|    これ    | 414  回|
 13   　位|    それ    | 386  回|
 14   　位|    時     | 344  回|
 15   　位|    迷亭    | 343  回|
 16   　位|    傍点    | 318  回|
 17   　位|   ところ    | 315  回|
 18   　位|    方     | 314  回|
 19   　位|    三     | 311  回|
 20   　位|    二     | 303  回|
 21   　位|    上     | 297  回|
 22   　位|    寒月    | 286  回|
 23   　位|    顔     | 283  回|
 24   　位|    そう    | 278  回|
 25   　位|    先生    | 274  回|
 26   　位|    人間    | 272  回|
 27   　位|    僕     | 268  回|
 28   　位|    さん    | 261  回|
 29   　位|    気     | 251  回|
 30   　位|    猫     | 248  回|
['の', '事', 'もの', '君', '主人', 'ん', 'よう', '人', '一', '何', '吾輩', 'これ', 'それ', '時', '迷亭', '傍点', 'ところ', '方', '三', '二', '上', '寒月', '顔', 'そう', '先生', '人間', '僕', 'さん', '気', '猫']
